127.0.0.1 - - [29/Apr/2026:16:17:52 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [29/Apr/2026:16:17:53 +0530] "GET /ORSProject-04/ HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [29/Apr/2026:16:17:53 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [29/Apr/2026:16:19:21 +0530] "GET /ORSProject-04/ HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [29/Apr/2026:16:19:21 +0530] "GET /ORSProject-04/img/customLogo.jpg HTTP/1.1" 200 33775
0:0:0:0:0:0:0:1 - - [29/Apr/2026:16:20:11 +0530] "GET /ORSProject-04/ HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [29/Apr/2026:16:20:11 +0530] "GET /ORSProject-04/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2026:16:21:35 +0530] "GET /ORSProject-04/WelcomeCtl HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [29/Apr/2026:16:21:35 +0530] "GET /ORS_Project4/js/checkbox.js HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [29/Apr/2026:16:21:35 +0530] "GET /ORS_Project4/js/datepicker.js HTTP/1.1" 404 789
